homo_node_label,x,y,z,fine_query_x,fine_query_y,fine_query_z,homo_u1,homo_u2,homo_u3,fine_u1,fine_u2,fine_u3,homo_umag,fine_umag,absolute_vector_error,mls_condition_number,mls_support_radius_normalized,pointwise_error_over_fine_peak
11,-2.5,1.5,4.0,-0.5,3.5,0.0,-0.0497212037444114,0.035956036299467,-0.2721919119358063,-0.0524421222819355,0.03178207218945889,-0.27225589904207126,0.27902234959126765,0.2790762456127285,0.004982917662298491,61.07433638447519,0.08544003270936253,0.014161202781795746
12,-2.5,2.5,4.0,-0.5,4.5,0.0,-0.0491815768182277,0.0491815768182277,-0.273920327425003,-0.0524336604599408,0.05243370977710088,-0.2747366263098866,0.28261281070269145,0.28456773623577897,0.00467105562633859,47.3729152103526,0.1109053522730949,0.013274906472991259
13,-2.5,-2.5,3.0,-0.5,-0.5,-1.0,-0.0555305555462837,-0.0555305555462837,-0.2077127695083618,-0.05071920585075861,-0.05071920585075861,-0.20776797704468755,0.22206278349915284,0.21980083705369519,0.006804499956449841,46.692640058107536,0.11224972181561844,0.01933804855759109
14,-2.5,-1.5,3.0,-0.5,0.5,-1.0,-0.0552892759442329,-0.0279148053377866,-0.2043505907058715,-0.05113421587032876,-0.030627841459698008,-0.20424769767357062,0.213530569973769,0.21276723128834496,0.004963433911380754,59.213248065985034,0.08660253969018879,0.014105830936143211
15,-2.5,-0.5,3.0,-0.5,1.5,-1.0,-0.0558080114424228,-0.0148587143048644,-0.2015524804592132,-0.05162348720795406,-0.010195784385512581,-0.201671230668325,0.20966334422405053,0.2084231842430741,0.006266359398710437,58.7760962627608,0.08602325170038042,0.017808680006929326
16,-2.5,0.5,3.0,-0.5,2.5,-1.0,-0.0558080114424228,0.0148587143048644,-0.2015524804592132,-0.05162262562520715,0.010196119491064528,-0.20165998937830815,0.20966334422405053,0.20841211012121083,0.006266482506503017,59.02586015478752,0.08602325516483227,0.017809029873118755
17,-2.5,1.5,3.0,-0.5,3.5,-1.0,-0.0552892759442329,0.0279148053377866,-0.2043505907058715,-0.051133752112992176,0.030627600353970927,-0.20425152184201215,0.213530569973769,0.21277075617521657,0.004963612570661662,59.79397693765781,0.08660252523683125,0.01410633867688413
18,-2.5,2.5,3.0,-0.5,4.5,-1.0,-0.0555305555462837,0.0555305555462837,-0.2077127695083618,-0.05071920505483478,0.05071921022564368,-0.20776797889066825,0.22206278349915284,0.2198008396244668,0.0068044974408037725,46.692664482726045,0.11224972500162714,0.019338041408250784
19,-2.5,-2.5,2.0,-0.5,-0.5,-2.0,-0.0447591580450534,-0.0447591580450534,-0.1410910785198211,-0.046796060924216405,-0.046796060924216405,-0.14334036263575345,0.15463976492380757,0.15788034138737872,0.0036547538511465592,46.72242017557909,0.11224972181561844,0.010386627656970314
20,-2.5,-1.5,2.0,-0.5,0.5,-2.0,-0.0460010655224323,-0.0336185507476329,-0.1379690021276474,-0.047855329334025754,-0.02747060087330902,-0.13743894371361037,0.14927072898485172,0.14810209217672002,0.006443333288172785,59.25258933161578,0.08660253969018879,0.018311630949651384
21,-2.5,-0.5,2.0,-0.5,1.5,-2.0,-0.0479289703071117,-0.0062578655779361,-0.1320845484733581,-0.048938016963199375,-0.00889698794552404,-0.1345670888260924,0.14065089769248684,0.14346563105469767,0.003761136613873364,58.431403559232244,0.0860232690226292,0.010688962148037748
22,-2.5,0.5,2.0,-0.5,2.5,-2.0,-0.0479289703071117,0.0062578655779361,-0.1320845484733581,-0.04891275734379283,0.008895833262595338,-0.13456433613565522,0.14065089769248684,0.14345436291740402,0.0037518072030595156,59.07510053716754,0.08602327733730825,0.010662448429103721
