homo_node_label,x,y,z,fine_query_x,fine_query_y,fine_query_z,homo_u1,homo_u2,homo_u3,fine_u1,fine_u2,fine_u3,homo_umag,fine_umag,absolute_vector_error,mls_condition_number,mls_support_radius_normalized,pointwise_error_over_fine_peak
16,0.800000011920929,3.200000047683716,0.0,3.800000011920929,6.200000047683716,0.0,0.0061002587899565,-0.7187207937240601,1.5736013769698624e-14,0.007654851278491637,-0.682368529836488,3.1415274574265515e-05,0.7187466817235731,0.6824114655002693,0.03638550308126248,27.539525128611135,0.13757100740663758,0.048239599850137614
17,0.0,3.200000047683716,0.0,3.0,6.200000047683716,0.0,2.8308948003541445e-06,-0.7190129160881042,1.5476465934000962e-14,-3.1545867187527655e-06,-0.6907234387498087,4.295764260296487e-05,0.7190129160936771,0.6907234400928285,0.0282895105871237,47.14623604071318,0.14340916830191877,0.03750599978324467
18,-0.800000011920929,3.200000047683716,0.0,2.199999988079071,6.200000047683716,0.0,-0.0060945958830416,-0.7187207341194153,1.5229213628565642e-14,-0.007662136245469999,-0.6823696866597951,5.0416715854677e-05,0.7187465740802726,0.6824127051468755,0.03638486465612637,27.539229470913057,0.13757100740663758,0.04823875343135837
19,-1.600000023841858,3.200000047683716,0.0,1.399999976158142,6.200000047683716,0.0,-0.0125294104218482,-0.7191611528396606,1.5008012668456076e-14,-0.0135342815368121,-0.6868910355966388,3.963647207701355e-05,0.7192702898627114,0.6870243613808686,0.03228578330915921,36.47366451695862,0.13834964965186428,0.042804225193855766
20,-2.400000095367432,3.200000047683716,0.0,0.5999999046325679,6.200000047683716,0.0,-0.020119272172451,-0.7174860835075378,1.4831616363124474e-14,-0.025295698963706648,-0.6864781783959735,4.787968220995688e-05,0.7177681137663714,0.6869440763936904,0.031437046079378646,36.47909070314021,0.13834965167136226,0.04167897637563582
21,-3.200000047683716,3.200000047683716,0.0,-0.20000004768371582,6.200000047683716,0.0,-0.0291573833674192,-0.7189911603927612,1.4761209290482802e-14,-0.03779706946419782,-0.6782768222829656,6.691413136784568e-05,0.7195821299391502,0.6793291327360105,0.041620980058987095,26.701720163587783,0.14279574260435918,0.05518075204105244
22,-4.0,3.200000047683716,0.0,-1.0,6.200000047683716,0.0,-0.0515772253274917,-0.6940782070159912,1.5021392400890905e-14,-0.05392887568979264,-0.6842985178539773,3.057145612106226e-05,0.6959919307197577,0.6864202692993041,0.01005850456807822,29.640569745427456,0.1703707645283794,0.013335482386245977
23,4.0,2.400000095367432,0.0,7.0,5.400000095367432,0.0,0.0699994638562202,-0.621883749961853,1.3697445175981596e-14,0.07024725879490704,-0.6061902825146372,5.054143360232964e-05,0.6258109326360277,0.6102469488148309,0.01569550500254673,23.13469381240494,0.16736249071115405,0.020808971064044345
24,3.200000047683716,2.400000095367432,0.0,6.200000047683716,5.400000095367432,0.0,0.0548764057457447,-0.6319757103919983,1.3354857618266911e-14,0.051678912101214745,-0.6126127497238705,1.722541187850609e-05,0.6343537801834577,0.6147886558622576,0.019625200843738852,36.4736597389438,0.13834965167136226,0.026018929395209476
25,2.400000095367432,2.400000095367432,0.0,5.400000095367432,5.400000095367432,0.0,0.0361351892352104,-0.6405897736549377,1.3076869028274575e-14,0.036913301317628086,-0.6171055519732521,3.257299745952963e-05,0.6416081436611827,0.6182085854720705,0.023497131471895034,23.867399214750648,0.13375583876584168,0.031152303083422483
